# S45 Re-gate verdict — fixed (close-bias-corrected) harness, prod_safety preset + -170 floor
# Generated 2026-05-30T00:20Z. Roster: 279 live S43/S43b engines.
#
# 80/20 OOS split: 279 PASS / 0 FAIL.
# 90d holdout:  OLD(buggy)=233 PASS/46 FAIL  ->  NEW(fixed)=279 PASS/0 FAIL.
# CONCLUSION: zero culls. Close-bias bug caused ~46 FALSE-NEGATIVE fails; fix revives them.
# Blew-up engines (29-May) all PASS strongly (JUP PF3.1, RENDER PF3.2, SEI PF2.3) -> loss was
# protection-gap (no real floor) + correlated dump, NOT engine quality.
#
tag,symbol,strategy,tf_secs,trades,wins,wr,total_bp,pf,sharpe,maxdd_bp,verdict_fixed_80_20
TIA-ICHI-H3,tiausdt,ICHIMOKU,10800,239,198,82.8,19026.0,3.909,9.53,768,PASS
XLM-TSMOM-H8,xlmusdt,TSMOM,28800,297,241,81.1,33504.4,4.604,6.56,614,PASS
INJ-ICHI-H4,injusdt,ICHIMOKU,14400,408,334,81.9,37898.4,4.314,9.86,602,PASS
IMX-TSMOM-D1,imxusdt,TSMOM,86400,134,94,70.1,30517.2,5.285,6.55,1045,PASS
ATOM-TSMOM-H6,atomusdt,TSMOM,21600,487,390,80.1,30321.1,3.127,9.37,1003,PASS
RUNE-TSMOM-H8,runeusdt,TSMOM,28800,401,310,77.3,30005.9,3.314,8.36,906,PASS
MANA-TSMOM-H12,manausdt,TSMOM,43200,269,218,81.0,37324.7,4.939,9.63,384,PASS
ATOM-TSMOM-H12,atomusdt,TSMOM,43200,255,209,82.0,28364.6,5.189,9.30,480,PASS
HBAR-TSMOM-H4,hbarusdt,TSMOM,14400,615,495,80.5,42444.4,3.369,9.94,919,PASS
RUNE-TSMOM-H12,runeusdt,TSMOM,43200,281,217,77.2,28476.2,4.247,8.99,576,PASS
DOT-TSMOM-H12,dotusdt,TSMOM,43200,253,195,77.1,30503.6,4.214,7.30,814,PASS
ICP-ICHI-H4,icpusdt,ICHIMOKU,14400,366,285,77.9,33198.8,3.394,7.48,856,PASS
MANA-TSMOM-H8,manausdt,TSMOM,28800,396,315,79.5,41287.1,3.885,10.15,879,PASS
FIL-TSMOM-D1,filusdt,TSMOM,86400,132,99,75.0,29878.8,6.085,2.91,576,PASS
INJ-ICHI-H6,injusdt,ICHIMOKU,21600,256,196,76.6,27164.4,3.582,7.55,795,PASS
XLM-TSMOM-H6,xlmusdt,TSMOM,21600,408,320,78.4,30572.6,3.024,6.30,936,PASS
MASK-TSMOM-D1,maskusdt,TSMOM,86400,136,92,67.6,22614.7,4.414,4.64,768,PASS
ETH-TSMOM-H12,ethusdt,TSMOM,43200,557,455,81.7,58689.1,4.885,8.76,561,PASS
MASK-ICHI-H3,maskusdt,ICHIMOKU,10800,420,335,79.8,23377.3,2.800,5.95,1166,PASS
XLM-ICHI-H4,xlmusdt,ICHIMOKU,14400,337,284,84.3,35387.1,5.271,7.85,461,PASS
LTC-TSMOM-H12,ltcusdt,TSMOM,43200,274,231,84.3,27919.9,4.898,8.29,547,PASS
STX-TSMOM-D1,stxusdt,TSMOM,86400,93,62,66.7,18778.2,4.302,2.86,576,PASS
CRV-TSMOM-D1,crvusdt,TSMOM,86400,119,92,77.3,24125.9,5.768,6.24,715,PASS
BCH-TSMOM-D1,bchusdt,TSMOM,86400,155,129,83.2,24747.5,6.122,8.10,547,PASS
AVAX-TSMOM-D1,avaxusdt,TSMOM,86400,137,105,76.6,22317.6,4.937,6.92,778,PASS
JTO-ICHI-H8,jtousdt,ICHIMOKU,28800,73,59,80.8,19441.4,9.178,6.11,396,PASS
SHIB-TSMOM-H8,shibusdt,TSMOM,28800,307,249,81.1,23559.5,3.475,7.60,1001,PASS
SHIB-TSMOM-H12,shibusdt,TSMOM,43200,240,189,78.8,19614.1,3.261,6.54,703,PASS
RUNE-TSMOM-D1,runeusdt,TSMOM,86400,112,85,75.9,14919.8,4.777,5.85,542,PASS
ATOM-ICHI-H4,atomusdt,ICHIMOKU,14400,417,337,80.8,23370.6,2.942,8.21,764,PASS
ATOM-TSMOM-D2,atomusdt,TSMOM,172800,58,39,67.2,9058.6,3.569,3.94,768,PASS
BCH-TSMOM-H12,bchusdt,TSMOM,43200,298,235,78.9,24934.6,3.307,7.61,768,PASS
DOGE-ICHI-H8,dogeusdt,ICHIMOKU,28800,197,159,80.7,22415.6,4.942,7.51,570,PASS
RUNE-ICHI-H8,runeusdt,ICHIMOKU,28800,153,125,81.7,14218.9,4.100,6.07,576,PASS
SOL-ICHI-H6,solusdt,ICHIMOKU,21600,499,414,83.0,35292.1,3.870,9.76,950,PASS
ETC-TSMOM-D1,etcusdt,TSMOM,86400,94,76,80.9,14363.5,5.929,5.17,514,PASS
RUNE-TSMOM-D2,runeusdt,TSMOM,172800,64,48,75.0,15027.6,6.664,4.70,576,PASS
ATOM-TSMOM-D1,atomusdt,TSMOM,86400,122,88,72.1,16145.3,3.648,5.77,666,PASS
TRX-TSMOM-H12,trxusdt,TSMOM,43200,258,200,77.5,8993.4,2.483,5.23,882,PASS
VET-TSMOM-D1,vetusdt,TSMOM,86400,128,105,82.0,20176.6,6.037,7.54,576,PASS
LTC-TSMOM-D1,ltcusdt,TSMOM,86400,142,111,78.2,16269.6,4.150,5.54,572,PASS
TRX-TSMOM-D3,trxusdt,TSMOM,259200,58,46,79.3,7017.2,4.277,4.32,384,PASS
LTC-ICHI-H12,ltcusdt,ICHIMOKU,43200,129,108,83.7,16206.9,6.219,6.17,547,PASS
RUNE-ICHI-H6,runeusdt,ICHIMOKU,21600,227,173,76.2,13651.7,2.649,5.43,768,PASS
APT-ICHI-H6,aptusdt,ICHIMOKU,21600,197,159,80.7,14612.4,3.230,6.89,582,PASS
APT-TSMOM-H3,aptusdt,TSMOM,10800,729,594,81.5,42054.0,3.152,11.77,1063,PASS
APT-TSMOM-H6,aptusdt,TSMOM,21600,375,300,80.0,31813.4,3.478,9.98,755,PASS
ARB-ICHI-H3,arbusdt,ICHIMOKU,10800,389,309,79.4,19602.2,2.808,9.24,845,PASS
ARB-ICHI-H4,arbusdt,ICHIMOKU,14400,271,226,83.4,19133.3,3.670,9.56,384,PASS
ARB-TSMOM-H2,arbusdt,TSMOM,7200,945,742,78.5,34742.1,2.312,11.24,997,PASS
ARB-TSMOM-H3,arbusdt,TSMOM,10800,666,539,80.9,36410.7,3.076,12.57,1025,PASS
ARB-TSMOM-H4,arbusdt,TSMOM,14400,508,412,81.1,32064.0,3.219,11.87,608,PASS
ARKM-ICHI-H4,arkmusdt,ICHIMOKU,14400,165,117,70.9,15636.1,2.972,5.34,878,PASS
ARKM-TSMOM-H12,arkmusdt,TSMOM,43200,138,101,73.2,19288.8,3.826,6.04,576,PASS
ARKM-TSMOM-H4,arkmusdt,TSMOM,14400,466,358,76.8,36081.2,2.925,9.64,989,PASS
ARKM-TSMOM-H6,arkmusdt,TSMOM,21600,241,189,78.4,23899.8,3.523,8.61,732,PASS
ARKM-TSMOM-H8,arkmusdt,TSMOM,28800,186,148,79.6,19399.2,3.878,7.44,585,PASS
ARKM-WILLR-H6,arkmusdt,WILLIAMS_R,21600,72,59,81.9,5633.1,3.257,4.92,478,PASS
BOME-BOPB-H2,bomeusdt,BREAKOUT_PULLBACK,7200,32,20,62.5,638.5,1.384,1.00,791,PASS
BOME-ICHI-H1,bomeusdt,ICHIMOKU,3600,656,502,76.5,26368.2,2.361,10.70,1326,PASS
BOME-ICHI-H3,bomeusdt,ICHIMOKU,10800,235,189,80.4,30499.7,5.604,7.40,472,PASS
BOME-TSMOM-H12,bomeusdt,TSMOM,43200,142,112,78.9,32517.8,7.552,7.23,384,PASS
BOME-TSMOM-H3,bomeusdt,TSMOM,10800,530,419,79.1,53946.5,4.561,11.33,586,PASS
BOME-TSMOM-H4,bomeusdt,TSMOM,14400,375,295,78.7,43076.5,4.985,12.22,874,PASS
BOME-TSMOM-H8,bomeusdt,TSMOM,28800,200,164,82.0,41575.2,9.132,11.54,576,PASS
EIGEN-ICHI-H2,eigenusdt,ICHIMOKU,7200,275,233,84.7,20957.7,3.804,12.38,779,PASS
EIGEN-ICHI-H3,eigenusdt,ICHIMOKU,10800,161,132,82.0,14999.4,4.157,9.86,384,PASS
EIGEN-ICHI-H4,eigenusdt,ICHIMOKU,14400,102,84,82.4,15557.0,5.941,9.50,768,PASS
EIGEN-TSMOM-H12,eigenusdt,TSMOM,43200,97,75,77.3,21463.2,6.459,9.33,462,PASS
EIGEN-TSMOM-H4,eigenusdt,TSMOM,14400,282,233,82.6,33090.7,4.890,13.27,1026,PASS
EIGEN-TSMOM-H6,eigenusdt,TSMOM,21600,187,148,79.1,25429.9,4.688,10.47,752,PASS
EIGEN-TSMOM-H8,eigenusdt,TSMOM,28800,148,126,85.1,23730.9,6.817,9.59,576,PASS
ENA-ICHI-H2,enausdt,ICHIMOKU,7200,345,282,81.7,22529.5,3.504,12.66,565,PASS
ENA-TSMOM-H12,enausdt,TSMOM,43200,72,59,81.9,14312.6,7.858,7.28,387,PASS
ENA-TSMOM-H2,enausdt,TSMOM,7200,640,511,79.8,33199.2,2.737,13.96,1284,PASS
ENA-TSMOM-H4,enausdt,TSMOM,14400,321,269,83.8,32095.7,5.043,14.49,663,PASS
ENA-TSMOM-H6,enausdt,TSMOM,21600,228,186,81.6,28401.6,5.297,11.65,549,PASS
ENA-TSMOM-H8,enausdt,TSMOM,28800,155,121,78.1,18376.0,4.182,8.80,626,PASS
ETHFI-TSMOM-H2,ethfiusdt,TSMOM,7200,606,476,78.5,21483.8,2.100,9.92,1676,PASS
ETHFI-TSMOM-H3,ethfiusdt,TSMOM,10800,442,368,83.3,28682.3,3.589,13.82,638,PASS
ETHFI-TSMOM-H6,ethfiusdt,TSMOM,21600,226,185,81.9,25105.0,4.607,10.26,605,PASS
FLOKI-ICHI-H4,flokiusdt,ICHIMOKU,14400,203,161,79.3,18804.0,4.032,6.30,1060,PASS
FLOKI-TSMOM-H3,flokiusdt,TSMOM,10800,552,442,80.1,32328.1,2.979,10.73,707,PASS
FLOKI-TSMOM-H4,flokiusdt,TSMOM,14400,426,340,79.8,29863.9,3.219,10.25,762,PASS
FLOKI-TSMOM-H6,flokiusdt,TSMOM,21600,291,236,81.1,31594.8,4.616,10.22,600,PASS
FLOKI-TSMOM-H8,flokiusdt,TSMOM,28800,229,185,80.8,26141.6,4.798,9.76,574,PASS
JTO-ICHI-H3,jtousdt,ICHIMOKU,10800,312,256,82.1,39518.8,6.384,8.29,539,PASS
JTO-ICHI-H8,jtousdt,ICHIMOKU,28800,73,59,80.8,19441.4,9.178,6.11,396,PASS
JTO-TSMOM-H1,jtousdt,TSMOM,3600,1569,1200,76.5,65394.0,2.486,14.94,959,PASS
JTO-TSMOM-H12,jtousdt,TSMOM,43200,181,144,79.6,45101.5,8.221,10.11,576,PASS
JTO-TSMOM-H2,jtousdt,TSMOM,7200,886,696,78.6,65008.7,3.589,14.66,1243,PASS
JTO-TSMOM-H3,jtousdt,TSMOM,10800,666,547,82.1,80053.1,5.639,13.42,662,PASS
JTO-TSMOM-H4,jtousdt,TSMOM,14400,514,417,81.1,64996.9,5.538,14.00,788,PASS
JTO-TSMOM-H6,jtousdt,TSMOM,21600,353,294,83.3,63868.3,8.197,12.97,531,PASS
JTO-TSMOM-H8,jtousdt,TSMOM,28800,267,223,83.5,60938.4,9.737,11.62,576,PASS
JUP-ICHI-H1,jupusdt,ICHIMOKU,3600,760,581,76.4,25965.6,2.321,11.80,1416,PASS
JUP-ICHI-H2,jupusdt,ICHIMOKU,7200,371,290,78.2,21451.4,2.909,10.53,671,PASS
JUP-ICHI-H3,jupusdt,ICHIMOKU,10800,230,182,79.1,16158.3,3.423,9.25,960,PASS
JUP-TSMOM-D1,jupusdt,TSMOM,86400,85,60,70.6,13770.7,4.149,6.40,768,PASS
JUP-TSMOM-H1,jupusdt,TSMOM,3600,1308,1005,76.8,34504.6,2.029,12.96,1419,PASS
JUP-TSMOM-H12,jupusdt,TSMOM,43200,158,122,77.2,20509.5,4.578,8.68,576,PASS
JUP-TSMOM-H2,jupusdt,TSMOM,7200,772,603,78.1,37172.5,2.652,13.98,961,PASS
JUP-TSMOM-H3,jupusdt,TSMOM,10800,554,435,78.5,33926.2,3.101,13.26,862,PASS
JUP-TSMOM-H4,jupusdt,TSMOM,14400,439,352,80.2,30164.7,3.329,13.13,641,PASS
JUP-TSMOM-H6,jupusdt,TSMOM,21600,307,242,78.8,32186.2,4.203,12.21,868,PASS
JUP-TSMOM-H8,jupusdt,TSMOM,28800,231,183,79.2,30847.6,4.956,12.03,607,PASS
ONDO-ICHI-H2,ondousdt,ICHIMOKU,7200,219,182,83.1,17562.1,4.581,14.05,768,PASS
ONDO-ICHI-H3,ondousdt,ICHIMOKU,10800,152,123,80.9,14280.8,4.109,11.80,384,PASS
OP-ICHI-H2,opusdt,ICHIMOKU,7200,682,537,78.7,29125.0,2.576,9.44,761,PASS
OP-ICHI-H8,opusdt,ICHIMOKU,28800,122,94,77.0,12936.9,3.695,4.55,576,PASS
OP-TSMOM-H12,opusdt,TSMOM,43200,224,178,79.5,31635.3,5.034,9.55,687,PASS
