tag,symbol,kind,tf,trades,pf,win,avg,sharpe,mdd,cagr,expo,final,n_bars
DOGE-RSI25-H2,dogeusdt,RSI_REVERT,2h,146,1.0912934299325399,0.7054794520547946,0.001010468125146865,0.16804785829873206,-0.3314734764520806,0.013827686886935364,0.016887304820095043,1.0766933099724314,23568
BTC-RSI35-H3,btcusdt,RSI_REVERT,3h,280,1.1019909606088154,0.8428571428571429,0.000729569222543597,0.20276940200516605,-0.38048795183304274,0.019683564888955063,0.08234695176275933,1.1105975544811157,15714
BNB-BOLL25-H3,bnbusdt,BOLLINGER,3h,519,0.9525248275096777,0.5741811175337187,-0.0006268523157468881,-0.15890794765871089,-0.6613768186928806,-0.12752666853956585,0.18779432353315514,0.4799072912541088,15714
ETH-BOLL25-H3,ethusdt,BOLLINGER,3h,303,0.6106776901843574,0.7392739273927392,-0.004683927357295273,-0.9834462947588373,-0.8462726396417538,-0.26201420455029556,0.06071019473081329,0.19493930925694214,15714
BTC-RSI25-H2,btcusdt,RSI_REVERT,2h,149,1.2087333639593556,0.7181208053691275,0.0011094360826624198,0.35638539415572257,-0.1539983419741947,0.027375912097199695,0.016250848608282416,1.1564149557654881,23568
LINK-BOLL30-H1,linkusdt,BOLLINGER,1h,603,0.5661750400319514,0.6517412935323383,-0.003293979601386293,-1.5854259826036456,-0.8857113184241128,-0.32853538382729464,0.036983598209170576,0.11732228151192559,47129
XRP-RSI30-H6,xrpusdt,RSI_REVERT,6h,71,1.4530802340865006,0.676056338028169,0.01021199252811094,0.5217409337646913,-0.5248220821026522,0.10663895308720295,0.08106388393993383,1.7252358692525158,7858
XRP-RSI30-H2,xrpusdt,RSI_REVERT,2h,277,1.1167059958554382,0.48014440433212996,0.0017427239700507995,0.3087737128189998,-0.4013105294277377,0.04899808333425759,0.07204684317718942,1.2935550996872296,23568
NEAR-TSMOM-D1,nearusdt,TSMOM,1D,278,1.4262969989740346,0.8453237410071942,0.014859407585380964,0.836080373504723,-0.9172299170439528,0.37281140195323914,0.5984732824427481,5.506005517794271,1965
NEAR-TSMOM-H12,nearusdt,TSMOM,12h,606,1.7455887427902164,0.735973597359736,0.0161098969284512,2.10208001347498,-0.46670838026404027,3.3111442769898565,0.3591244591499109,2603.147912166027,3929
NEAR-TSMOM-H6,nearusdt,TSMOM,6h,1313,1.2749713736780006,0.6808834729626809,0.00424001830324362,1.210012757256663,-0.7313540943774051,1.0133780329058584,0.3624331891066429,43.22991594017769,7858
NEAR-TSMOM-H4,nearusdt,TSMOM,4h,1237,1.4708304830446253,0.8593371059013742,0.006608125179842865,1.6512837177325472,-0.7841569425200577,2.0078760564575293,0.49482436789411166,374.8593228724486,11786
NEAR-TSMOM-H3,nearusdt,TSMOM,3h,1860,1.528689931090947,0.8209677419354838,0.006177545527170768,2.369622720166392,-0.571481138426281,4.718177037228121,0.46219931271477666,11890.139388337195,15714
SUI-TSMOM-H6,suiusdt,TSMOM,6h,630,1.3567251256048032,0.7285714285714285,0.005258346773262338,1.7248272992739406,-0.6233852441785235,1.4250362748502585,0.3455485611510791,14.861857808757525,4448
SUI-TSMOM-H4,suiusdt,TSMOM,4h,832,1.40349417487185,0.7752403846153846,0.005166902561663784,2.0879580857662785,-0.4258687328226052,2.2477283932711885,0.40293809024134314,36.16866742813204,6671
APT-TSMOM-H6,aptusdt,TSMOM,6h,622,1.2051546577813153,0.7813504823151125,0.003488609953440073,0.8916974069729712,-0.7153726602374044,0.4512874786681249,0.44478410393580436,3.8008001376902296,5234
ARB-TSMOM-H6,arbusdt,TSMOM,6h,663,1.0718840501083238,0.7390648567119156,0.0010749541019244456,0.38511395066705806,-0.6407983157247119,0.05441816139822464,0.383347788378144,1.1822123006235021,4612
NEAR-RSI-H6,nearusdt,RSI_REVERT,6h,90,0.9590335789127707,0.7444444444444445,-0.0006491663942578233,-0.05929206144696323,-0.5510520023703778,-0.027730966798943824,0.044667854415881905,0.8595365549385844,7858
NEAR-RSI-H4,nearusdt,RSI_REVERT,4h,126,0.8277095763522327,0.5873015873015873,-0.005448446247638507,-0.3759772946999706,-0.7849173021301107,-0.17179733722160373,0.08696758866451722,0.36260432752535887,11786
NEAR-RSI-H3,nearusdt,RSI_REVERT,3h,162,1.0803687423179458,0.5432098765432098,0.0028779842008249783,0.17663838671047402,-0.7586824439009621,-0.03512512139501711,0.14585719740358916,0.8249556026130196,15714
NEAR-RSI-H2,nearusdt,RSI_REVERT,2h,253,0.8126051746299082,0.48221343873517786,-0.0031888436242274243,-0.48716821853775877,-0.7961688757935081,-0.18062106293720304,0.06076035302104549,0.34235532950664566,23568
SUI-RSI-H3,suiusdt,RSI_REVERT,3h,101,1.2481127640296614,0.6633663366336634,0.005640697879587667,0.5159362784860524,-0.4283809847657982,0.12856995043545583,0.10522765598650928,1.445486334490159,8895
SUI-RSI-H2,suiusdt,RSI_REVERT,2h,153,1.0867853385344974,0.45098039215686275,0.0020212388643124253,0.2598578771354179,-0.47365827682084305,0.026983089808233718,0.11475041223204917,1.0844840326993752,13342
SUI-RSI-H4,suiusdt,RSI_REVERT,4h,94,1.5012680644800673,0.776595744680851,0.005898788374021678,0.8456159719529449,-0.22062998426155744,0.1718978372691511,0.03972417928346575,1.6212364734385554,6671
APT-RSI-H2,aptusdt,RSI_REVERT,2h,204,0.7704767678638722,0.7156862745098039,-0.0023721791076551715,-0.5854433638436842,-0.6409316269945062,-0.1490656883878554,0.04165605095541401,0.5606787555839411,15700
APT-RSI-H1,aptusdt,RSI_REVERT,1h,404,0.6607177764781856,0.6212871287128713,-0.002285186625272937,-1.4534373857307719,-0.701715645281012,-0.2395391073654366,0.03302863330891487,0.3747691278013617,31397
APT-RSI-H4,aptusdt,RSI_REVERT,4h,83,0.7848488331418904,0.6385542168674698,-0.005764323006133511,-0.4285950442010788,-0.5459168724584875,-0.17057885122781158,0.09414012738853503,0.5115067903702082,7850
APT-RSI-H6,aptusdt,RSI_REVERT,6h,61,1.1684997045067824,0.5245901639344263,0.004364226109377972,0.25804114554072904,-0.37480142553640083,0.03375851846266653,0.09476499808941537,1.126397013950729,5234
APT-RSI-H3,aptusdt,RSI_REVERT,3h,113,1.2249701783704012,0.6991150442477876,0.004156460225400001,0.44625070474012135,-0.4283931004946011,0.09050788230062756,0.08149421992930161,1.3642181290261304,10467
ARB-RSI-H2,arbusdt,RSI_REVERT,2h,159,0.8126248050233301,0.8050314465408805,-0.0023904473093684727,-0.4556973561556503,-0.3935594077700001,-0.14503738390138832,0.069688426227138,0.6096409145846445,13833
ARB-RSI-H4,arbusdt,RSI_REVERT,4h,88,1.0279326035082723,0.7727272727272727,0.00035852581585867137,0.04671267279561056,-0.3599598955363299,-0.014260360539549821,0.05435882608067081,0.9556487653686588,6917
ARB-RSI-H1,arbusdt,RSI_REVERT,1h,334,0.6422111488353985,0.7365269461077845,-0.0028952486171954926,-1.5624542268544634,-0.6714463103518309,-0.2783936932040487,0.05122365614720023,0.35688630364529533,27663
ARB-RSI-H6,arbusdt,RSI_REVERT,6h,62,1.077185025033709,0.7741935483870968,0.0011976008279818702,0.10415953076982956,-0.29018134665423556,-0.003310834256235018,0.05919340849956635,0.989578722143832,4612
ARB-RSI-H3,arbusdt,RSI_REVERT,3h,105,0.7770623849326881,0.6095238095238096,-0.0042932236030459635,-0.5556462053473725,-0.544146449267747,-0.16261790439283152,0.07308609846020386,0.5709210542174831,9222
NEAR-BOLL-H3,nearusdt,BOLLINGER,3h,318,1.074019069495048,0.5660377358490566,0.0023718878334799106,0.23124120297379674,-0.6156280083386453,-0.04629339320684134,0.23914980272368588,0.7748552107547023,15714
NEAR-BOLL-H6,nearusdt,BOLLINGER,6h,200,0.7638243227945026,0.5,-0.007624002301499242,-0.6391109310709547,-0.9052445830246806,-0.3195320392451655,0.13553066938152203,0.12593280542393415,7858
