tag,symbol,kind,tf,n_bars,blowoff_skips,trades,pf,sharpe,win,mdd_cmp,mdd_bp,cum_bp,cagr,avg_loss_bp,avg_win_bp,worst_bp,max_loss_streak,max_run_loss_bp,n_sl,n_time,n_kill,n_giveback,passes
ARB-TSMOM-H6,arbusdt,TSMOM,6h,4643,0,1093,18.40778575804828,13.05428109460507,0.8526989935956084,-0.020022663128965612,-201.57417266441917,147862.43716664842,94.45700856926669,-52.75801550028483,167.7644610109382,-72.00000000000085,3,-201.57417266440876,131,0,84,878,True
NEAR-RSI-H6,nearusdt,RSI_REVERT,6h,7889,0,112,36.93526663220894,3.64917631823165,0.9017857142857143,-0.014663380108325796,-147.35506003430237,19883.48343878221,0.43334900268643883,-50.30126594094907,202.34452835774897,-70.81476539915839,3,-147.35506003430385,7,0,7,98,True
NEAR-RSI-H4,nearusdt,RSI_REVERT,4h,11833,0,182,12.7340101358189,4.0786001808786105,0.8296703296703297,-0.014348160000000054,-144.0,19425.004280861383,0.42458551143839984,-53.401440263403906,139.60562204653576,-72.00000000000098,2,-143.99999999999986,25,0,13,144,True
NEAR-RSI-H3,nearusdt,RSI_REVERT,3h,15776,0,233,10.45797294875206,4.164361539700511,0.8025751072961373,-0.016510389048000063,-166.0,22865.77980313712,0.5162262777099016,-52.556945587268146,135.2053438510774,-72.00000000000098,3,-165.99999999999952,31,0,26,176,True
NEAR-RSI-H2,nearusdt,RSI_REVERT,2h,23661,0,331,7.171449353978158,4.676804116681649,0.7643504531722054,-0.03254022863718453,-329.7920711375864,25321.00416859214,0.5873620800247421,-52.60162401923248,116.30012190550309,-72.00000000000098,4,-220.21161191749792,51,0,42,238,True
SUI-RSI-H3,suiusdt,RSI_REVERT,3h,8957,0,143,11.829473186591212,4.761027970865412,0.8461538461538461,-0.020291890972717663,-204.30592963921197,13591.641414608144,0.5477867289761762,-57.04819355821813,122.7000138255285,-72.00000000000067,3,-204.30592963921188,27,0,6,110,True
SUI-RSI-H2,suiusdt,RSI_REVERT,2h,13435,0,189,7.5595046898271905,4.817595854908341,0.8042328042328042,-0.026044062437734494,-262.9999999999982,13455.988580478228,0.5420273016460075,-55.44250431041815,102.0221134208138,-72.00000000000092,4,-262.99999999999966,37,0,17,135,True
SUI-RSI-H4,suiusdt,RSI_REVERT,4h,6718,0,107,14.427821572890725,4.832617084822725,0.8598130841121495,-0.01186616000000007,-119.0,11462.12134478029,0.4459647240477387,-56.90732624330286,133.86664389597644,-72.00000000000067,2,-119.00000000000034,15,0,4,88,True
APT-RSI-H2,aptusdt,RSI_REVERT,2h,15793,0,246,5.749108947651777,4.5153974560086905,0.7642276422764228,-0.02038951220710905,-204.98980789575398,14841.408547617793,0.5013014390998269,-53.88091894497318,95.56649918311828,-72.00000000000095,3,-143.99999999999937,48,0,27,171,True
APT-RSI-H1,aptusdt,RSI_REVERT,1h,31584,0,470,2.5176795110577888,3.4420279801744553,0.6702127659574468,-0.06458822888457572,-664.5737860834106,11898.516873934486,0.3841424953377748,-50.58026047911955,62.66176904189848,-72.00000000000095,6,-379.38738738739346,129,0,88,253,True
APT-RSI-H4,aptusdt,RSI_REVERT,4h,7897,0,113,16.984083321623423,5.162566857727355,0.8761061946902655,-0.014348159999999832,-143.99999999999903,11690.68894618759,0.3779823733245027,-52.24254614040381,125.47560194094186,-71.99999999999976,2,-143.99999999999898,14,0,7,92,True
APT-RSI-H6,aptusdt,RSI_REVERT,6h,5265,0,82,22.801232437322764,3.779438844198706,0.8658536585365854,-0.012882587775542187,-129.37855465692428,12231.024791623659,0.3949225729960639,-51.00222420405536,180.16970785729953,-72.0000000000005,3,-129.37855465692462,12,0,4,66,True
APT-RSI-H3,aptusdt,RSI_REVERT,3h,10529,0,140,13.397005648645832,3.5139011820170882,0.8571428571428571,-0.009662578269505784,-96.5742428303347,13931.491508933712,0.4605316235030221,-56.18893748933438,125.4605854893367,-72.00000000000016,2,-93.99999999999869,19,0,8,113,True
ARB-RSI-H2,arbusdt,RSI_REVERT,2h,13926,0,211,5.248583999723278,3.672959692332899,0.7345971563981043,-0.0282583682177473,-284.30453362628134,12015.498110781722,0.450354705864233,-50.50211229857627,95.76526709356128,-72.00000000000038,5,-244.50424929177544,35,0,31,145,True
ARB-RSI-H4,arbusdt,RSI_REVERT,4h,6964,0,115,12.82316940198135,4.5422092639960825,0.8521739130434782,-0.01186616000000007,-119.0,11277.208531834754,0.41900688986400025,-56.10722346952226,124.8064421511901,-72.00000000000038,2,-118.99999999999989,15,0,6,94,True
ARB-RSI-H1,arbusdt,RSI_REVERT,1h,27850,0,414,2.2524685676286698,3.3753663980217246,0.6304347826086957,-0.10715976243264791,-1126.709999006456,9364.285686748412,0.33702881270136165,-48.867079936876,64.52470849459944,-72.00000000000097,5,-293.7712665406379,104,0,80,230,True
ARB-RSI-H6,arbusdt,RSI_REVERT,6h,4643,0,82,18.465787174156308,4.1379519066400015,0.8780487804878049,-0.013704603564355655,-137.51776354105186,9690.621215747262,0.350305343211889,-55.48344955265592,142.2979959899142,-72.0000000000009,2,-137.5177635410525,12,0,2,68,True
ARB-RSI-H3,arbusdt,RSI_REVERT,3h,9284,0,148,11.113023587928323,5.0787947328947345,0.8378378378378378,-0.016304824892529712,-163.9359177536735,12914.178535044379,0.4937682825343479,-53.20770466073291,114.44486650727393,-72.00000000000088,3,-163.9359177536717,27,0,6,115,True
NEAR-BOLL-H3,nearusdt,BOLLINGER,3h,15776,0,643,10.421780329494505,7.256149559787244,0.8149300155520995,-0.024064376185387926,-242.93633108188078,58928.477787193246,1.92960148102165,-52.55878135676334,124.39498619971016,-72.00000000000098,4,-190.99999999999983,98,0,57,488,True
NEAR-BOLL-H6,nearusdt,BOLLINGER,6h,7889,0,295,18.132832887564977,5.629208745459634,0.847457627118644,-0.01584380534122176,-159.13422622629878,42156.16759111743,1.1500773884355033,-54.67885727917112,178.46686467472063,-72.00000000000094,2,-118.99999999999935,30,0,22,243,True
