tag,symbol,strategy,tf_secs,oos_trades,oos_wins,oos_pf,oos_sharpe,oos_total_bp,oos_max_dd_bp,verdict,note
XRP-BOLL-H12,xrpusdt,BOLLINGER,43200,28,25,3.55255,1.40982,10039.2,2006.33,PASS,
LINK-BOLL-H12,linkusdt,BOLLINGER,43200,30,14,1.21653,0.244551,1460.76,3110.08,FAIL,
DOGE-BOLL-H12,dogeusdt,BOLLINGER,43200,33,22,1.06212,0.0886773,551.19,5692.27,FAIL,
BTC-RSI-H8,btcusdt,RSI_REVERT,28800,9,5,1.36055,0.230424,931.939,1331.37,FAIL,
NEAR-DONCH-H6,nearusdt,DONCHIAN,21600,141,60,0.751955,-0.82709,-8499.23,11787.9,FAIL,
APT-DONCH-H4,aptusdt,DONCHIAN,14400,116,74,0.872306,-0.374521,-3998.2,11019.3,FAIL,
APT-DONCH-H6,aptusdt,DONCHIAN,21600,96,44,0.648212,-1.08589,-9822.78,12286,FAIL,
ARB-DONCH-H6,arbusdt,DONCHIAN,21600,64,44,1.00139,0.00294485,30.9393,4628.15,FAIL,
BTC-RSI-D1,btcusdt,RSI_REVERT,86400,3,2,2.72166,0.442687,730.221,424.138,FAIL,
DOGE-RSI-D1,dogeusdt,RSI_REVERT,86400,3,2,1.00965,0.00388447,16.7569,1736.23,FAIL,
LINK-RSI-D1,linkusdt,RSI_REVERT,86400,4,2,8.54813,0.880629,2649.5,267.421,FAIL,
ETH-RSI-H8,ethusdt,RSI_REVERT,28800,11,6,1.2448,0.173748,788.75,2311.35,FAIL,
BNB-RSI-H8,bnbusdt,RSI_REVERT,28800,9,5,2.45475,0.486067,1733.22,631.314,FAIL,
DOGE-RSI-H8,dogeusdt,RSI_REVERT,28800,12,7,0.857956,-0.14623,-748.166,5153.85,FAIL,
XRP-RSI-H8,xrpusdt,RSI_REVERT,28800,13,10,2.20256,0.636841,2180.25,1369.11,FAIL,
APT-RSI-H8,aptusdt,RSI_REVERT,28800,13,4,0.373807,-0.804202,-5024.66,6688.56,FAIL,
SOL-RSI-H8,solusdt,RSI_REVERT,28800,8,6,0.706063,-0.229365,-1195.08,2145.68,FAIL,
LINK-RSI-H8,linkusdt,RSI_REVERT,28800,9,5,0.632314,-0.376508,-1357.5,2212.55,FAIL,
ARB-RSI-H8,arbusdt,RSI_REVERT,28800,13,8,1.78419,0.542894,2647.49,1888.09,FAIL,
NEAR-RSI-H8,nearusdt,RSI_REVERT,28800,11,4,0.491243,-0.5821,-2282.96,2613.95,FAIL,
BTC-BOLL-H8,btcusdt,BOLLINGER,28800,23,14,2.35599,1.06398,2598.01,760.428,PASS,
ETH-BOLL-H8,ethusdt,BOLLINGER,28800,52,24,1.29501,0.547812,3836.72,2273.23,FAIL,
SOL-BOLL-H8,solusdt,BOLLINGER,28800,34,23,1.45246,0.601154,2817.8,2388.81,PASS,
BNB-BOLL-H8,bnbusdt,BOLLINGER,28800,39,31,1.77404,0.941358,2208.57,628.155,PASS,
AVAX-BOLL-H8,avaxusdt,BOLLINGER,28800,42,28,0.570831,-0.915845,-5668.14,8113.01,FAIL,
LINK-BOLL-H8,linkusdt,BOLLINGER,28800,41,34,1.86803,0.970456,5135.98,3227.15,PASS,
XRP-BOLL-H8,xrpusdt,BOLLINGER,28800,45,34,1.65565,0.710867,3675.93,1855.91,PASS,
DOGE-BOLL-H8,dogeusdt,BOLLINGER,28800,39,32,1.45098,0.543567,3325.64,5558.74,PASS,
SUI-BOLL-H8,suiusdt,BOLLINGER,28800,50,38,1.99857,1.25918,7794.79,1798.72,PASS,
APT-BOLL-H8,aptusdt,BOLLINGER,28800,44,22,1.00227,0.00334721,26.6424,4610.2,FAIL,
NEAR-BOLL-H8,nearusdt,BOLLINGER,28800,38,19,1.09294,0.155766,1724.41,7782.5,FAIL,
ARB-BOLL-H8,arbusdt,BOLLINGER,28800,49,30,0.7502,-0.51612,-3776.58,6029.63,FAIL,
BNB-RSI-H16,bnbusdt,RSI_REVERT,57600,5,3,2.47241,0.570814,2155.59,1463.99,FAIL,
XRP-RSI-H16,xrpusdt,RSI_REVERT,57600,4,4,99.9,3.91589,1747.11,0,FAIL,
LINK-RSI-H16,linkusdt,RSI_REVERT,57600,5,3,0.518541,-0.269549,-1293.85,2687.35,FAIL,
NEAR-RSI-H16,nearusdt,RSI_REVERT,57600,5,3,1.41921,0.224993,356.16,500.424,FAIL,
BTC-RSI-H16,btcusdt,RSI_REVERT,57600,3,2,5.56104,0.637791,1094.3,239.923,FAIL,
SOL-RSI-H16,solusdt,RSI_REVERT,57600,5,3,1.91862,0.361957,1791.23,1728.36,FAIL,
DOGE-RSI-H16,dogeusdt,RSI_REVERT,57600,4,4,99.9,2.02774,2081.94,0,FAIL,
LINK-BOLL-H16,linkusdt,BOLLINGER,57600,15,12,1.5365,0.428819,1782.67,1759.06,FAIL,
XRP-BOLL-H16,xrpusdt,BOLLINGER,57600,18,16,5.01799,1.34906,10205.3,2539.9,FAIL,
BTC-BOLL-H16,btcusdt,BOLLINGER,57600,17,11,2.77796,1.12772,3951.79,1448.15,FAIL,
NEAR-BOLL-H16,nearusdt,BOLLINGER,57600,23,15,1.80956,0.843501,8124.33,4307.17,PASS,
ETH-BOLL-H16,ethusdt,BOLLINGER,57600,15,12,1.18868,0.164441,688.452,1740.02,FAIL,
XRP-DONCH-H8,xrpusdt,DONCHIAN,28800,73,38,1.79744,1.25011,14359.4,3597.51,PASS,
NEAR-DONCH-H8,nearusdt,DONCHIAN,28800,117,98,1.51427,0.968559,11376.7,8146.26,PASS,
SUI-DONCH-H8,suiusdt,DONCHIAN,28800,71,39,0.965911,-0.079666,-900.053,5422.85,FAIL,
BTC-DONCH-H8,btcusdt,DONCHIAN,28800,89,70,0.858493,-0.31826,-1642.25,4640.68,FAIL,
ARB-DONCH-H8,arbusdt,DONCHIAN,28800,58,19,0.5253,-1.41595,-10804.8,15008.3,FAIL,
XRP-DONCH-H16,xrpusdt,DONCHIAN,57600,28,20,2.64449,1.20235,13332,2964.88,PASS,
