tag,symbol,entry_ts,exit_ts,entry_px,exit_px,reason,gross_bp,net_bp,mfe_bp,in_bounce
NEAR-TSMOM-H4,nearusdt,1783267200000,1783268100000,1.98000000,1.96500000,EARLY_KILL,-75.76,-97.76,0.00,0
NEAR-TSMOM-H8,nearusdt,1783267200000,1783268100000,1.98000000,1.96500000,EARLY_KILL,-75.76,-97.76,0.00,0
SOL-ICHI-H8,solusdt,1783267200000,1783268100000,81.36000000,80.91000000,EARLY_KILL,-55.31,-75.31,0.00,0
AVAX-TSMOM-H8,avaxusdt,1783267200000,1783273500000,6.92800000,6.92300000,SL,-7.22,-29.22,70.73,0
TIA-TSMOM-H8,tiausdt,1783267200000,1783273500000,0.38720000,0.39140000,GIVEBACK,108.47,86.47,162.71,0
FET-TSMOM-H8,fetusdt,1783296000000,1783296900000,0.17960000,0.17640000,EARLY_KILL,-178.17,-200.17,0.00,0
FET-TSMOM-H12,fetusdt,1783296000000,1783296900000,0.17960000,0.17640000,EARLY_KILL,-178.17,-200.17,0.00,0
BNB-TSMOM-D1,bnbusdt,1783296000000,1783300500000,589.87000000,587.89000000,SL,-33.57,-53.57,33.91,0
NEAR-TSMOM-H4,nearusdt,1783396800000,1783397700000,2.02100000,1.99900000,EARLY_KILL,-108.86,-130.86,0.00,0
SOL-TSMOM-H4,solusdt,1783396800000,1783401300000,81.05000000,80.46000000,EARLY_KILL,-72.79,-92.79,6.17,0
SUI-TSMOM-H4,suiusdt,1783396800000,1783401300000,0.73530000,0.72940000,SL,-80.24,-102.24,16.32,0
LINK-TSMOM-H6,linkusdt,1783404000000,1783408500000,7.88800000,7.90800000,SL,25.35,3.35,67.19,0
LINK-TSMOM-H6,linkusdt,1783447200000,1783448100000,8.01800000,7.92100000,EARLY_KILL,-120.98,-142.98,1.25,0
INJ-TSMOM-H8,injusdt,1783468800000,1783473300000,4.72400000,4.70100000,GIVEBACK,-48.69,-70.69,110.08,0
SOL-TSMOM-H4,solusdt,1783497600000,1783498500000,78.28000000,76.90000000,EARLY_KILL,-176.29,-196.29,1.28,0
SUI-TSMOM-H4,suiusdt,1783497600000,1783498500000,0.71810000,0.70060000,EARLY_KILL,-243.70,-265.70,2.79,0
SOL-ICHI-H8,solusdt,1783497600000,1783498500000,78.28000000,76.90000000,EARLY_KILL,-176.29,-196.29,1.28,0
BNB-TSMOM-D1,bnbusdt,1783555200000,1783561500000,568.66000000,567.25000000,SL,-24.80,-44.80,72.98,0
INJ-TSMOM-H12,injusdt,1783598400000,1783602900000,4.85200000,4.83000000,SL,-45.34,-67.34,96.87,0
APT-TSMOM-H8,aptusdt,1783641600000,1783642500000,0.62500000,0.61900000,SL,-96.00,-118.00,16.00,1
AVAX-TSMOM-H8,avaxusdt,1783670400000,1783673100000,6.75200000,6.77500000,SL,34.06,12.06,93.31,1
TIA-TSMOM-H8,tiausdt,1783699200000,1783703700000,0.40450000,0.40030000,SL,-103.83,-125.83,39.56,1
APT-TSMOM-H8,aptusdt,1783699200000,1783703700000,0.62700000,0.62800000,SL,15.95,-6.05,95.69,1
LINK-TSMOM-H6,linkusdt,1783728000000,1783743300000,7.97000000,7.98700000,SL,21.33,-0.67,51.44,1
BNB-TSMOM-D1,bnbusdt,1783728000000,1783763100000,575.43000000,577.72000000,SL,39.80,19.80,76.64,1
TIA-TSMOM-H8,tiausdt,1783756800000,1783763100000,0.40210000,0.40580000,GIVEBACK,92.02,70.02,134.29,1
LINK-TSMOM-H6,linkusdt,0,1783767600000,8.00700000,8.01200000,OPEN@FIX,6.24,-15.76,0.00,0
